recommendation_id,user_id,track_id,recommended_at,reason,model_version,confidence_score,is_clicked,is_saved
9741.0,4274,3228,CURRENT_TIMESTAMP,Fill box to.,Physical leg social.,194.14,FALSE,FALSE
1729.0,2693,9744,CURRENT_TIMESTAMP,Evidence trouble city herself.,Collection floor help recognize.,607.5,FALSE,FALSE
,4569,439,CURRENT_TIMESTAMP,Production wrong campaign skill.,Voice must little statement good he.,657.13,FALSE,FALSE
5409.0,493,6352,CURRENT_TIMESTAMP,Short.,Entire old different agree.,971.52,FALSE,FALSE
3495.0,5783,7427,CURRENT_TIMESTAMP,Western.,Concern strategy.,100.7,,FALSE
,6985,2687,CURRENT_TIMESTAMP,Lead region college war.,,962.91,FALSE,FALSE
2747.0,8632,1435,,Political.,May why.,904.13,FALSE,FALSE
328.0,4719,2497,CURRENT_TIMESTAMP,Tend owner first alone surface.,Book four worker affect just Mr.,261.38,FALSE,FALSE
2299.0,8729,1539,CURRENT_TIMESTAMP,Something week matter simply safe theory.,Election enter Mr light.,741.43,FALSE,FALSE
8395.0,8959,2228,CURRENT_TIMESTAMP,Wrong space girl.,Lawyer sort table.,791.14,FALSE,FALSE
6991.0,4825,8209,CURRENT_TIMESTAMP,Two.,Rock up continue movie born.,303.81,FALSE,FALSE
7359.0,346,1834,CURRENT_TIMESTAMP,Student audience probably.,Child artist remember us.,32.72,FALSE,FALSE
144.0,8009,6637,CURRENT_TIMESTAMP,Good civil.,Strategy.,713.32,FALSE,FALSE
431.0,8213,7664,CURRENT_TIMESTAMP,Key language under space.,Many become born sister we.,492.57,,FALSE
243.0,6518,9439,CURRENT_TIMESTAMP,Painting so education entire send truth face.,Follow be form Congress.,198.56,,
2102.0,5432,3863,,Behind.,Country.,59.18,FALSE,FALSE
8537.0,6965,7717,,Despite build sure tough.,Meet network prepare.,433.96,FALSE,FALSE
2210.0,8190,5175,CURRENT_TIMESTAMP,,Wonder push decision.,928.55,,FALSE
7101.0,5722,7658,,Mind top.,Various too.,241.94,FALSE,FALSE
1190.0,9001,5379,CURRENT_TIMESTAMP,Amount since buy.,,25.41,FALSE,FALSE
512.0,1339,9770,CURRENT_TIMESTAMP,,Name read bill concern agree group.,141.7,FALSE,FALSE
1499.0,715,516,CURRENT_TIMESTAMP,Bar what turn.,Local him explain heavy.,677.18,,FALSE
4844.0,2858,42,CURRENT_TIMESTAMP,Item nice week radio discussion.,Team defense wind role positive own.,692.89,FALSE,FALSE
9659.0,4298,5481,CURRENT_TIMESTAMP,Range thing.,People pull throw father.,846.64,FALSE,
3032.0,5248,5882,CURRENT_TIMESTAMP,Think.,High blood begin.,58.17,FALSE,FALSE
8548.0,4784,305,CURRENT_TIMESTAMP,To doctor true according.,Whole computer.,615.12,FALSE,FALSE
4999.0,4269,3511,CURRENT_TIMESTAMP,Look car own. Day easy artist well board.,Coach answer national him.,514.6,FALSE,FALSE
4172.0,7904,2086,CURRENT_TIMESTAMP,Computer seven.,Tree those able treatment.,501.94,FALSE,FALSE
,2716,7250,CURRENT_TIMESTAMP,Better down when course.,Media special reality time can ask.,322.06,FALSE,
8095.0,9723,1556,CURRENT_TIMESTAMP,Final trouble never let many.,Sometimes push agree seem.,,,FALSE
3988.0,9918,555,CURRENT_TIMESTAMP,Level several reveal.,Civil and bring hard.,568.23,FALSE,FALSE
5476.0,7763,5984,CURRENT_TIMESTAMP,Officer explain discuss fine.,,616.68,FALSE,FALSE
946.0,6761,1444,CURRENT_TIMESTAMP,Wrong similar three call.,Stop sister near traditional.,780.66,,FALSE
2490.0,2352,7631,CURRENT_TIMESTAMP,Else agency.,What most natural.,438.84,FALSE,FALSE
9784.0,9145,6675,,Very place hope return.,Draw example pick choice.,608.75,FALSE,FALSE
3565.0,8349,4901,CURRENT_TIMESTAMP,Audience short energy.,Fly science back treatment.,606.78,FALSE,FALSE
9489.0,4439,52,,Science tend easy area.,Concern.,540.59,,FALSE
4476.0,4087,2672,CURRENT_TIMESTAMP,How need reduce on ten.,Force interview east.,100.47,FALSE,FALSE
2926.0,597,8999,CURRENT_TIMESTAMP,Lot young one talk piece place.,,118.43,FALSE,FALSE
6371.0,8493,1083,CURRENT_TIMESTAMP,Day concern loss show born.,,680.03,FALSE,FALSE
581.0,6093,6443,CURRENT_TIMESTAMP,Forward Mr move remember head anyone.,Phone meeting some.,325.01,FALSE,FALSE
999.0,441,1934,,Organization city for example.,Take treatment create half character.,552.17,FALSE,FALSE
842.0,2550,4410,,Easy event.,Season national peace.,815.8,FALSE,FALSE
2696.0,54,1026,CURRENT_TIMESTAMP,Can one fine crime.,,545.15,FALSE,FALSE
6969.0,356,7135,CURRENT_TIMESTAMP,Fine live.,Girl light.,42.55,FALSE,
6440.0,2943,2621,CURRENT_TIMESTAMP,General.,Matter throw protect fire.,385.57,FALSE,
